erlang index: 80001, erlang: 80001, general blocking: 0.164058, BBP: 0, Total current utilization: 0.503007, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 81001, erlang: 81001, general blocking: 0.164678, BBP: 0, Total current utilization: 0.506767, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 82001, erlang: 82001, general blocking: 0.164138, BBP: 0, Total current utilization: 0.508356, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 83001, erlang: 83001, general blocking: 0.166208, BBP: 0, Total current utilization: 0.510955, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 84001, erlang: 84001, general blocking: 0.165258, BBP: 0, Total current utilization: 0.50962, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 85001, erlang: 85001, general blocking: 0.166408, BBP: 0, Total current utilization: 0.513734, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 86001, erlang: 86001, general blocking: 0.166738, BBP: 0, Total current utilization: 0.515914, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 87001, erlang: 87001, general blocking: 0.167758, BBP: 0, Total current utilization: 0.516896, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 88001, erlang: 88001, general blocking: 0.168578, BBP: 0, Total current utilization: 0.518116, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 89001, erlang: 89001, general blocking: 0.169908, BBP: 0, Total current utilization: 0.519009, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 90001, erlang: 90001, general blocking: 0.169448, BBP: 0, Total current utilization: 0.519791, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 91001, erlang: 91001, general blocking: 0.169678, BBP: 0, Total current utilization: 0.52297, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
erlang index: 92001, erlang: 92001, general blocking: 0.169748, BBP: 0, Total current utilization: 0.526116, Blocked by XT: 0, La ruta mas larga es de: 12700, Max XT for modulation 16QAM: -26.4165, Max XT for modulation 8QAM: -23.2891, Max XT for modulation BPSK: -19.0575, Max XT for modulation QPSK: -20.6192
